ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag
600030.SH,20250409,20250331,略增,32.0,32.0,654500.0,654500.0,495900.0,20250409,预计:净利润654500,2025年一季度，公司继续锚定打造一流投资银行和投资机构的发展目标，积极服务实体经济，持续做大客户市场，深入推进国际化战略，综合金融服务能力持续提升。公司业绩增长的主要原因是，财富管理、投资交易等业务收入同比增加较多。,0
600030.SH,20220105,20211231,略增,18.41,,1764514.0,,1490232.42,20220105,,国内经济克服疫情影响、持续向好，资本市场蓬勃发展，公司2021年各项业务均衡发展、稳步增长。,1
600030.SH,20220105,20211231,略增,18.41,,1764514.0,,1490232.42,20220105,,国内经济克服疫情影响、持续向好，资本市场蓬勃发展，公司2021年各项业务均衡发展、稳步增长。,0
600030.SH,20210701,20210630,略增,20.0,30.0,1071106.0,1160364.0,892588.0,20210701,预计:净利润1071106-1160364,国内经济克服疫情影响、持续向好，资本市场蓬勃发展，公司2021年上半年各项业务均衡发展、稳步增长，公司归属于母公司股东的净利润同比增长20%～30%。,1
600030.SH,20210701,20210630,略增,20.0,30.0,1071106.0,1160364.0,892588.0,20210701,预计净利润1071106-1160364万,国内经济克服疫情影响、持续向好，资本市场蓬勃发展，公司2021年上半年各项业务均衡发展、稳步增长，公司归属于母公司股东的净利润同比增长20%～30%。,0
600030.SH,20080410,20080331,预增,100.0,,,,125434.4295,20080410,增长幅度将超过100%,,1
600030.SH,20080108,20071231,预增,400.0,,,,243464.6513,20080108,上升幅度预计将超过4倍，达到上年同期净利润的5倍以上,,1
600030.SH,20071017,20070930,预增,746.6716,,800000.0,,127054.6303,20071017,净利润将超过80亿元,,1
600030.SH,20070724,20070630,预增,550.0,,,,77583.3191,20070724,"同向大幅上升,上升幅度预计将超过55倍",,1
600030.SH,20070407,20070331,预增,1200.0,,,,12511.9311,20070407,上升幅度预计将超过12倍,,1
600030.SH,20070109,20061231,预增,450.0,,,,40004.1573,20070109,上升幅度预计将超过450%,,1
600030.SH,20060816,20060930,预增,50.0,,,,14044.3298,20060816,增长幅度将超过50%,,1
600030.SH,20060718,20060630,预增,50.0,,,,6622.0679,20060718,上升超过50%,,1
600030.SH,20060117,20051231,预增,50.0,,,,16568.5281,20060117,上升幅度预计将超过50%,,1
600030.SH,20050115,20041231,预减,,-50.0,,,36548.9295,20050115,下降幅度预计将超过50%,,1
600030.SH,20040710,20040630,预减,,-50.0,,,15557.7087,20040710,下降幅度将超过50%,,1
600030.SH,20040129,20031231,预增,50.0,,,,11007.5822,20040129,超过50%,,1
600030.SH,20030120,20021231,预减,,-50.0,,,63126.9608,20030120,下降幅度预计将超过50%,,1
